time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-08 00:00:00+00:00,,,0.0,0.0
2026-01-09 00:00:00+00:00,,,1.0,1.0
2026-01-10 00:00:00+00:00,,,0.0,0.0
2026-01-11 00:00:00+00:00,,,0.0,0.0
2026-01-12 00:00:00+00:00,,,0.0,0.0
2026-01-13 00:00:00+00:00,,,1.0,1.0
2026-01-14 00:00:00+00:00,,,0.0,0.0
2026-01-15 00:00:00+00:00,,,0.0,0.0
2026-01-16 00:00:00+00:00,,,0.0,0.0
2026-01-17 00:00:00+00:00,,,2.0,2.0
2026-01-18 00:00:00+00:00,,,0.0,0.0
2026-01-19 00:00:00+00:00,,,0.0,0.0
2026-01-20 00:00:00+00:00,,,0.0,0.0
2026-01-21 00:00:00+00:00,,,0.0,0.0
2026-01-30 00:00:00+00:00,0.0,0.0,,
2026-01-31 00:00:00+00:00,0.0,0.0,,
2026-02-01 00:00:00+00:00,0.0,0.0,,
2026-02-02 00:00:00+00:00,0.0,0.0,,
2026-02-03 00:00:00+00:00,0.0,0.0,,
2026-02-04 00:00:00+00:00,0.0,0.0,,
2026-02-05 00:00:00+00:00,0.0,0.0,,
2026-02-06 00:00:00+00:00,1.0,1.0,,
2026-02-07 00:00:00+00:00,0.0,0.0,,
2026-02-08 00:00:00+00:00,0.0,0.0,,
2026-02-09 00:00:00+00:00,0.0,0.0,,
2026-02-10 00:00:00+00:00,1.0,1.0,,
2026-02-11 00:00:00+00:00,0.0,0.0,,
2026-02-12 00:00:00+00:00,0.0,0.0,,
