time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-13 00:00:00+00:00,34,25,,
2025-12-14 00:00:00+00:00,18,12,1.0,1.0
2025-12-15 00:00:00+00:00,27,19,,
2025-12-16 00:00:00+00:00,28,20,,
2025-12-17 00:00:00+00:00,29,21,,
2025-12-18 00:00:00+00:00,26,18,,
2025-12-19 00:00:00+00:00,24,16,,
2025-12-20 00:00:00+00:00,29,20,,
2025-12-21 00:00:00+00:00,33,24,,
2025-12-22 00:00:00+00:00,29,19,,
2025-12-23 00:00:00+00:00,25,18,,
2025-12-24 00:00:00+00:00,17,11,,
2025-12-25 00:00:00+00:00,32,19,,
2025-12-26 00:00:00+00:00,31,18,,
