time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-15 00:00:00+00:00,22,14,,
2025-11-16 00:00:00+00:00,21,12,1.0,1.0
2025-11-17 00:00:00+00:00,21,14,1.0,1.0
2025-11-18 00:00:00+00:00,22,14,,
2025-11-19 00:00:00+00:00,23,15,,
2025-11-20 00:00:00+00:00,22,14,1.0,1.0
2025-11-21 00:00:00+00:00,17,11,,
2025-11-22 00:00:00+00:00,25,18,,
2025-11-23 00:00:00+00:00,25,17,2.0,1.0
2025-11-24 00:00:00+00:00,25,16,,
2025-11-25 00:00:00+00:00,15,9,,
2025-11-26 00:00:00+00:00,27,19,,
2025-11-27 00:00:00+00:00,21,13,,
2025-11-28 00:00:00+00:00,21,15,1.0,1.0
