time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-13 00:00:00+00:00,,,1.0,1.0
2026-02-14 00:00:00+00:00,,,1.0,1.0
2026-02-15 00:00:00+00:00,51.0,25.0,1.0,1.0
2026-02-16 00:00:00+00:00,72.0,36.0,0.0,0.0
2026-02-17 00:00:00+00:00,43.0,23.0,1.0,1.0
2026-02-18 00:00:00+00:00,55.0,23.0,0.0,0.0
2026-02-19 00:00:00+00:00,72.0,35.0,0.0,0.0
2026-02-20 00:00:00+00:00,46.0,24.0,0.0,0.0
2026-02-21 00:00:00+00:00,51.0,30.0,0.0,0.0
2026-02-22 00:00:00+00:00,52.0,32.0,1.0,1.0
2026-02-23 00:00:00+00:00,41.0,20.0,0.0,0.0
2026-02-24 00:00:00+00:00,46.0,23.0,1.0,1.0
2026-02-25 00:00:00+00:00,53.0,28.0,1.0,1.0
2026-02-26 00:00:00+00:00,48.0,25.0,0.0,0.0
2026-02-27 00:00:00+00:00,54.0,32.0,,
2026-02-28 00:00:00+00:00,33.0,17.0,,
