time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-17 00:00:00+00:00,28,19,,
2025-06-18 00:00:00+00:00,26,19,2.0,2.0
2025-06-19 00:00:00+00:00,24,16,1.0,1.0
2025-06-20 00:00:00+00:00,18,11,3.0,2.0
2025-06-21 00:00:00+00:00,22,16,2.0,1.0
2025-06-22 00:00:00+00:00,21,14,,
2025-06-23 00:00:00+00:00,29,20,,
2025-06-24 00:00:00+00:00,24,18,,
2025-06-25 00:00:00+00:00,23,15,,
2025-06-26 00:00:00+00:00,17,11,,
2025-06-27 00:00:00+00:00,15,11,,
2025-06-28 00:00:00+00:00,25,19,,
2025-06-29 00:00:00+00:00,29,20,,
2025-06-30 00:00:00+00:00,21,14,,
