time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-01 00:00:00+00:00,31,22,1,1
2026-01-02 00:00:00+00:00,29,22,0,0
2026-01-03 00:00:00+00:00,23,15,0,0
2026-01-04 00:00:00+00:00,23,17,1,1
2026-01-05 00:00:00+00:00,23,15,0,0
2026-01-06 00:00:00+00:00,28,18,3,2
2026-01-07 00:00:00+00:00,24,17,1,1
2026-01-08 00:00:00+00:00,22,15,0,0
2026-01-09 00:00:00+00:00,24,16,1,1
2026-01-10 00:00:00+00:00,30,22,0,0
2026-01-11 00:00:00+00:00,34,26,1,1
2026-01-12 00:00:00+00:00,36,26,1,1
2026-01-13 00:00:00+00:00,25,17,0,0
2026-01-14 00:00:00+00:00,30,22,0,0
