time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-17 00:00:00+00:00,27,15,0,0
2026-08-18 00:00:00+00:00,29,21,0,0
2026-08-19 00:00:00+00:00,13,8,6,6
2026-08-20 00:00:00+00:00,30,10,0,0
2026-08-21 00:00:00+00:00,18,7,0,0
2026-08-22 00:00:00+00:00,28,16,0,0
2026-08-23 00:00:00+00:00,28,18,0,0
2026-08-24 00:00:00+00:00,31,12,4,4
2026-08-25 00:00:00+00:00,19,13,3,2
2026-08-26 00:00:00+00:00,38,17,0,0
2026-08-27 00:00:00+00:00,23,16,1,1
2026-08-28 00:00:00+00:00,32,18,0,0
2026-08-29 00:00:00+00:00,31,19,2,2
2026-08-30 00:00:00+00:00,7,5,0,0
