time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-09 00:00:00+00:00,22,12,1.0,1.0
2025-11-10 00:00:00+00:00,27,15,,
2025-11-11 00:00:00+00:00,28,14,,
2025-11-12 00:00:00+00:00,28,19,,
2025-11-13 00:00:00+00:00,24,14,,
2025-11-14 00:00:00+00:00,25,16,,
2025-11-15 00:00:00+00:00,22,14,,
2025-11-16 00:00:00+00:00,21,12,1.0,1.0
2025-11-17 00:00:00+00:00,21,14,1.0,1.0
2025-11-18 00:00:00+00:00,22,14,,
2025-11-19 00:00:00+00:00,23,15,,
2025-11-20 00:00:00+00:00,22,14,1.0,1.0
2025-11-21 00:00:00+00:00,17,11,,
2025-11-22 00:00:00+00:00,24,17,,
