time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-16 00:00:00+00:00,,,0.0,0.0
2025-12-17 00:00:00+00:00,,,0.0,0.0
2025-12-18 00:00:00+00:00,,,0.0,0.0
2025-12-19 00:00:00+00:00,,,0.0,0.0
2025-12-20 00:00:00+00:00,,,0.0,0.0
2025-12-21 00:00:00+00:00,,,0.0,0.0
2025-12-22 00:00:00+00:00,,,0.0,0.0
2025-12-23 00:00:00+00:00,,,0.0,0.0
2025-12-24 00:00:00+00:00,,,0.0,0.0
2025-12-25 00:00:00+00:00,,,0.0,0.0
2025-12-26 00:00:00+00:00,,,0.0,0.0
2025-12-27 00:00:00+00:00,,,0.0,0.0
2025-12-28 00:00:00+00:00,,,0.0,0.0
2025-12-29 00:00:00+00:00,,,0.0,0.0
2026-01-03 00:00:00+00:00,23.0,15.0,,
2026-01-04 00:00:00+00:00,23.0,17.0,,
2026-01-05 00:00:00+00:00,23.0,15.0,,
2026-01-06 00:00:00+00:00,28.0,18.0,,
2026-01-07 00:00:00+00:00,24.0,17.0,,
2026-01-08 00:00:00+00:00,22.0,15.0,,
2026-01-09 00:00:00+00:00,24.0,16.0,,
2026-01-10 00:00:00+00:00,30.0,22.0,,
2026-01-11 00:00:00+00:00,34.0,26.0,,
2026-01-12 00:00:00+00:00,36.0,26.0,,
2026-01-13 00:00:00+00:00,25.0,17.0,,
2026-01-14 00:00:00+00:00,30.0,22.0,,
2026-01-15 00:00:00+00:00,23.0,14.0,,
2026-01-16 00:00:00+00:00,31.0,22.0,,
