time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-10 00:00:00+00:00,22,14,1.0,1.0
2025-04-11 00:00:00+00:00,20,11,14.0,1.0
2025-04-12 00:00:00+00:00,27,16,,
2025-04-13 00:00:00+00:00,29,20,,
2025-04-14 00:00:00+00:00,28,18,,
2025-04-15 00:00:00+00:00,25,17,,
2025-04-16 00:00:00+00:00,30,20,,
2025-04-17 00:00:00+00:00,23,14,,
2025-04-18 00:00:00+00:00,28,19,,
2025-04-19 00:00:00+00:00,32,22,,
2025-04-20 00:00:00+00:00,41,28,,
2025-04-21 00:00:00+00:00,20,13,,
2025-04-22 00:00:00+00:00,16,10,,
2025-04-23 00:00:00+00:00,23,14,,
