time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-02 00:00:00+00:00,18,12,2.0,2.0
2025-03-03 00:00:00+00:00,31,18,1.0,1.0
2025-03-04 00:00:00+00:00,29,18,1.0,1.0
2025-03-05 00:00:00+00:00,33,19,,
2025-03-06 00:00:00+00:00,30,19,,
2025-03-07 00:00:00+00:00,29,18,2.0,1.0
2025-03-08 00:00:00+00:00,32,21,,
2025-03-09 00:00:00+00:00,33,21,,
2025-03-10 00:00:00+00:00,30,21,,
2025-03-11 00:00:00+00:00,27,18,,
2025-03-12 00:00:00+00:00,33,19,,
2025-03-13 00:00:00+00:00,31,20,2.0,1.0
2025-03-14 00:00:00+00:00,26,17,1.0,1.0
2025-03-15 00:00:00+00:00,33,20,,
