time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-20 00:00:00+00:00,80,32,0,0
2026-06-21 00:00:00+00:00,111,45,0,0
2026-06-22 00:00:00+00:00,117,44,0,0
2026-06-23 00:00:00+00:00,90,37,0,0
2026-06-24 00:00:00+00:00,81,34,0,0
2026-06-25 00:00:00+00:00,89,29,3,3
2026-06-26 00:00:00+00:00,24,12,0,0
2026-06-27 00:00:00+00:00,26,14,1,1
2026-06-28 00:00:00+00:00,55,25,0,0
2026-06-29 00:00:00+00:00,33,18,1,1
2026-06-30 00:00:00+00:00,43,28,0,0
2026-07-01 00:00:00+00:00,43,23,2,2
2026-07-02 00:00:00+00:00,45,25,5,1
2026-07-03 00:00:00+00:00,45,24,1,1
