time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-11 00:00:00+00:00,27,18,,
2025-03-12 00:00:00+00:00,33,19,,
2025-03-13 00:00:00+00:00,31,20,2.0,1.0
2025-03-14 00:00:00+00:00,26,17,1.0,1.0
2025-03-15 00:00:00+00:00,33,20,,
2025-03-16 00:00:00+00:00,20,14,,
2025-03-17 00:00:00+00:00,19,12,,
2025-03-18 00:00:00+00:00,18,12,,
2025-03-19 00:00:00+00:00,22,14,2.0,1.0
2025-03-20 00:00:00+00:00,28,19,,
2025-03-21 00:00:00+00:00,29,20,,
2025-03-22 00:00:00+00:00,30,18,,
2025-03-23 00:00:00+00:00,34,22,,
2025-03-24 00:00:00+00:00,29,18,1.0,1.0
