time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-31 00:00:00+00:00,22,15,,
2025-11-01 00:00:00+00:00,13,8,,
2025-11-02 00:00:00+00:00,16,9,,
2025-11-03 00:00:00+00:00,20,14,1.0,1.0
2025-11-04 00:00:00+00:00,27,13,1.0,1.0
2025-11-05 00:00:00+00:00,19,9,,
2025-11-06 00:00:00+00:00,25,12,1.0,1.0
2025-11-07 00:00:00+00:00,28,15,,
2025-11-08 00:00:00+00:00,31,18,,
2025-11-09 00:00:00+00:00,22,12,1.0,1.0
2025-11-10 00:00:00+00:00,27,15,,
2025-11-11 00:00:00+00:00,28,14,,
2025-11-12 00:00:00+00:00,28,19,,
2025-11-13 00:00:00+00:00,23,14,,
