time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-12 00:00:00+00:00,49,26,1,1
2026-02-13 00:00:00+00:00,59,26,1,1
2026-02-14 00:00:00+00:00,55,28,1,1
2026-02-15 00:00:00+00:00,51,25,1,1
2026-02-16 00:00:00+00:00,72,36,0,0
2026-02-17 00:00:00+00:00,43,23,1,1
2026-02-18 00:00:00+00:00,55,23,0,0
2026-02-19 00:00:00+00:00,72,35,0,0
2026-02-20 00:00:00+00:00,46,24,0,0
2026-02-21 00:00:00+00:00,51,30,0,0
2026-02-22 00:00:00+00:00,52,32,1,1
2026-02-23 00:00:00+00:00,41,20,0,0
2026-02-24 00:00:00+00:00,46,23,1,1
2026-02-25 00:00:00+00:00,53,28,1,1
