time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-03 00:00:00+00:00,20,14,1.0,1.0
2025-11-04 00:00:00+00:00,27,13,1.0,1.0
2025-11-05 00:00:00+00:00,19,9,,
2025-11-06 00:00:00+00:00,25,12,1.0,1.0
2025-11-07 00:00:00+00:00,28,15,,
2025-11-08 00:00:00+00:00,31,18,,
2025-11-09 00:00:00+00:00,22,12,1.0,1.0
2025-11-10 00:00:00+00:00,27,15,,
2025-11-11 00:00:00+00:00,28,14,,
2025-11-12 00:00:00+00:00,28,19,,
2025-11-13 00:00:00+00:00,24,14,,
2025-11-14 00:00:00+00:00,25,16,,
2025-11-15 00:00:00+00:00,22,14,,
2025-11-16 00:00:00+00:00,21,12,1.0,1.0
