time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-29 00:00:00+00:00,24,17,10,1
2026-03-30 00:00:00+00:00,50,33,0,0
2026-03-31 00:00:00+00:00,36,21,0,0
2026-04-01 00:00:00+00:00,24,12,0,0
2026-04-02 00:00:00+00:00,30,19,0,0
2026-04-03 00:00:00+00:00,39,22,0,0
2026-04-04 00:00:00+00:00,24,14,5,5
2026-04-05 00:00:00+00:00,26,19,0,0
2026-04-06 00:00:00+00:00,47,28,0,0
2026-04-07 00:00:00+00:00,30,19,0,0
2026-04-08 00:00:00+00:00,46,28,0,0
2026-04-09 00:00:00+00:00,30,14,0,0
2026-04-10 00:00:00+00:00,45,22,1,1
2026-04-11 00:00:00+00:00,59,36,0,0
