time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-01 00:00:00+00:00,23,15,,
2025-04-02 00:00:00+00:00,30,19,,
2025-04-03 00:00:00+00:00,30,20,1.0,1.0
2025-04-04 00:00:00+00:00,25,16,3.0,1.0
2025-04-05 00:00:00+00:00,28,19,,
2025-04-06 00:00:00+00:00,24,13,,
2025-04-07 00:00:00+00:00,103,57,,
2025-04-08 00:00:00+00:00,26,16,,
2025-04-09 00:00:00+00:00,31,20,,
2025-04-10 00:00:00+00:00,22,14,1.0,1.0
2025-04-11 00:00:00+00:00,20,11,14.0,1.0
2025-04-12 00:00:00+00:00,27,16,,
2025-04-13 00:00:00+00:00,29,20,,
2025-04-14 00:00:00+00:00,28,18,,
