time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-16 00:00:00+00:00,31,22,0,0
2026-01-17 00:00:00+00:00,26,20,0,0
2026-01-18 00:00:00+00:00,45,35,0,0
2026-01-19 00:00:00+00:00,35,24,0,0
2026-01-20 00:00:00+00:00,33,21,0,0
2026-01-21 00:00:00+00:00,38,24,0,0
2026-01-22 00:00:00+00:00,34,22,0,0
2026-01-23 00:00:00+00:00,36,22,0,0
2026-01-24 00:00:00+00:00,43,29,0,0
2026-01-25 00:00:00+00:00,46,31,0,0
2026-01-26 00:00:00+00:00,39,24,0,0
2026-01-27 00:00:00+00:00,33,20,0,0
2026-01-28 00:00:00+00:00,29,18,0,0
2026-01-29 00:00:00+00:00,39,24,0,0
