time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-06 00:00:00+00:00,33,21,1,1
2026-07-07 00:00:00+00:00,39,17,1,1
2026-07-08 00:00:00+00:00,50,25,0,0
2026-07-09 00:00:00+00:00,28,20,1,1
2026-07-10 00:00:00+00:00,30,19,1,1
2026-07-11 00:00:00+00:00,25,13,0,0
2026-07-12 00:00:00+00:00,42,23,2,2
2026-07-13 00:00:00+00:00,25,15,1,1
2026-07-14 00:00:00+00:00,31,18,0,0
2026-07-15 00:00:00+00:00,26,15,1,1
2026-07-16 00:00:00+00:00,24,15,1,1
2026-07-17 00:00:00+00:00,29,20,1,1
2026-07-18 00:00:00+00:00,25,14,3,3
2026-07-19 00:00:00+00:00,20,15,0,0
