time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-07 00:00:00+00:00,87,46,0,0
2026-05-08 00:00:00+00:00,37,27,2,2
2026-05-09 00:00:00+00:00,39,20,4,4
2026-05-10 00:00:00+00:00,26,18,9,9
2026-05-11 00:00:00+00:00,34,17,3,3
2026-05-12 00:00:00+00:00,32,20,0,0
2026-05-13 00:00:00+00:00,54,21,3,3
2026-05-14 00:00:00+00:00,49,24,1,1
2026-05-15 00:00:00+00:00,41,27,3,2
2026-05-16 00:00:00+00:00,24,15,9,8
2026-05-17 00:00:00+00:00,35,21,7,3
2026-05-18 00:00:00+00:00,50,19,11,3
2026-05-19 00:00:00+00:00,42,27,1,1
2026-05-20 00:00:00+00:00,39,22,0,0
