time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-21 00:00:00+00:00,16,10,,
2025-07-22 00:00:00+00:00,22,15,,
2025-07-23 00:00:00+00:00,18,13,,
2025-07-24 00:00:00+00:00,28,19,,
2025-07-25 00:00:00+00:00,14,8,,
2025-07-26 00:00:00+00:00,27,20,,
2025-07-27 00:00:00+00:00,21,13,,
2025-07-28 00:00:00+00:00,24,17,,
2025-07-29 00:00:00+00:00,16,9,,
2025-07-30 00:00:00+00:00,15,10,,
2025-07-31 00:00:00+00:00,19,12,,
2025-08-01 00:00:00+00:00,22,14,,
2025-08-02 00:00:00+00:00,18,11,,
2025-08-03 00:00:00+00:00,32,20,,
