time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-06 00:00:00+00:00,21,16,,
2025-12-07 00:00:00+00:00,30,20,,
2025-12-08 00:00:00+00:00,36,24,,
2025-12-09 00:00:00+00:00,26,18,,
2025-12-10 00:00:00+00:00,24,17,2.0,1.0
2025-12-11 00:00:00+00:00,18,12,2.0,2.0
2025-12-12 00:00:00+00:00,34,22,2.0,2.0
2025-12-13 00:00:00+00:00,34,25,,
2025-12-14 00:00:00+00:00,18,12,1.0,1.0
2025-12-15 00:00:00+00:00,27,19,,
2025-12-16 00:00:00+00:00,28,20,,
2025-12-17 00:00:00+00:00,29,21,,
2025-12-18 00:00:00+00:00,26,18,,
2025-12-19 00:00:00+00:00,24,16,,
